URL Extension,URL,Channel,Person,BioGuide ID,YouTube Channel ID,CSPAN Person ID,CSPAN Program ID
-2VKyELHFxo,https://www.youtube.com/watch?v=-2VKyELHFxo,Senator Michael Bennet,Michael F. Bennet,B001267,UCXB3cljpMwTyCUyLr2ZVLow,,
-6L2e0MnVrI,https://www.youtube.com/watch?v=-6L2e0MnVrI,Senator Michael Bennet,Michael F. Bennet,B001267,UCXB3cljpMwTyCUyLr2ZVLow,,
-9BnwsWg4E8,https://www.youtube.com/watch?v=-9BnwsWg4E8,C-SPAN,C-SPAN,https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg,UCb--64Gl51jIEVE-GLDAVTg,,
-AZhMyrkIUA,https://www.youtube.com/watch?v=-AZhMyrkIUA,Senator Michael Bennet,Michael F. Bennet,B001267,UCXB3cljpMwTyCUyLr2ZVLow,,
-AsGsuo3B3A,https://www.youtube.com/watch?v=-AsGsuo3B3A,C-SPAN,C-SPAN,https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg,UCb--64Gl51jIEVE-GLDAVTg,,
-B-FsAgraSQ,https://www.youtube.com/watch?v=-B-FsAgraSQ,Mahan for California,Mahan for California,https://www.youtube.com/channel/UCePbQz1iC9qgNcxtAwv3_zQ,UCePbQz1iC9qgNcxtAwv3_zQ,,
-BWtKxfhSO4,https://www.youtube.com/watch?v=-BWtKxfhSO4,Rep. Ritchie Torres,Norma J. Torres,T000474,UC332GOmhxGmHj3WRiHK4hFg,,
-Bh_zrI0IgQ,https://www.youtube.com/watch?v=-Bh_zrI0IgQ,Rep. Joe Neguse,Joe Neguse,N000191,UCukNKhsFrzM-LFtp43XPQtg,,
-CKMoJ5f0Co,https://www.youtube.com/watch?v=-CKMoJ5f0Co,C-SPAN,C-SPAN,https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg,UCb--64Gl51jIEVE-GLDAVTg,,
-EMHdFRXnag,https://www.youtube.com/watch?v=-EMHdFRXnag,House Committee on Agriculture,House Committee on Agriculture,https://www.youtube.com/channel/UCWtWf-QUTnJ-UMP5ZNWVB5Q,UCWtWf-QUTnJ-UMP5ZNWVB5Q,,
-FHZB6KcFU8,https://www.youtube.com/watch?v=-FHZB6KcFU8,Sen. Elissa Slotkin,Elissa Slotkin,S001208,UCavPE_osOr5wM3QYUzfs95A,,
-Gzd1vIb9-k,https://www.youtube.com/watch?v=-Gzd1vIb9-k,Sen. Elissa Slotkin,Elissa Slotkin,S001208,UCavPE_osOr5wM3QYUzfs95A,,
-HjvXtI-Owg,https://www.youtube.com/watch?v=-HjvXtI-Owg,House Committee on Agriculture,House Committee on Agriculture,https://www.youtube.com/channel/UCWtWf-QUTnJ-UMP5ZNWVB5Q,UCWtWf-QUTnJ-UMP5ZNWVB5Q,,
-Ii51ySKWUc,https://www.youtube.com/watch?v=-Ii51ySKWUc,House Committee on Agriculture,House Committee on Agriculture,https://www.youtube.com/channel/UCWtWf-QUTnJ-UMP5ZNWVB5Q,UCWtWf-QUTnJ-UMP5ZNWVB5Q,,
-K9xMcMARJo,https://www.youtube.com/watch?v=-K9xMcMARJo,Rep. Joe Neguse,Joe Neguse,N000191,UCukNKhsFrzM-LFtp43XPQtg,,
-L9kgBMAVuw,https://www.youtube.com/watch?v=-L9kgBMAVuw,Rep. Auchincloss,Jake Auchincloss,A000148,UCLTp0xAT0gBrF8WReNliMwA,,
-P20AE8wmtU,https://www.youtube.com/watch?v=-P20AE8wmtU,House Committee on Agriculture,House Committee on Agriculture,https://www.youtube.com/channel/UCWtWf-QUTnJ-UMP5ZNWVB5Q,UCWtWf-QUTnJ-UMP5ZNWVB5Q,,
-RH1hX9l90U,https://www.youtube.com/watch?v=-RH1hX9l90U,Rep. George Whitesides,George Whitesides,W000830,UCi0_78hGEjLd1EGuie6quKg,,
-S4ZkcBJP1o,https://www.youtube.com/watch?v=-S4ZkcBJP1o,Jeff Jackson,Jeff Jackson,J000308,UCMS_OsMEOc1s9hlwRvQyahg,,
-SQyssRdX0U,https://www.youtube.com/watch?v=-SQyssRdX0U,Mary Peltola,Mary Sattler Peltola,P000619,UCXHT0c_Cqdvp6UAfXDxuGow,,
-Tc6APFaaik,https://www.youtube.com/watch?v=-Tc6APFaaik,C-SPAN,John Barrasso,B001261,UCb--64Gl51jIEVE-GLDAVTg,,
-UKz6upEiIs,https://www.youtube.com/watch?v=-UKz6upEiIs,Senator Michael Bennet,Michael F. Bennet,B001267,UCXB3cljpMwTyCUyLr2ZVLow,,
-UMvHfKg8mo,https://www.youtube.com/watch?v=-UMvHfKg8mo,Mary Peltola,Mary Sattler Peltola,P000619,UCXHT0c_Cqdvp6UAfXDxuGow,,
-bHKojtGTPI,https://www.youtube.com/watch?v=-bHKojtGTPI,C-SPAN,C-SPAN,https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg,UCb--64Gl51jIEVE-GLDAVTg,,
-eq7e6PbkdM,https://www.youtube.com/watch?v=-eq7e6PbkdM,Sen. Elissa Slotkin,Elissa Slotkin,S001208,UCavPE_osOr5wM3QYUzfs95A,,
-grtY-6ZZfE,https://www.youtube.com/watch?v=-grtY-6ZZfE,Maggie Goodlander for Congress,Maggie Goodlander,G000604,UCmy6ACpOou_Vb74yIMSc7hg,,
-jwFJFQhdO0,https://www.youtube.com/watch?v=-jwFJFQhdO0,Rep. Joe Neguse,Joe Neguse,N000191,UCukNKhsFrzM-LFtp43XPQtg,,
-l6iTrbsIm8,https://www.youtube.com/watch?v=-l6iTrbsIm8,Abigail Spanberger for Governor,Abigail Davis Spanberger,S001209,UCxJTgExEfcqCdIj4SMJyqrQ,,
-n3twUNkDk0,https://www.youtube.com/watch?v=-n3twUNkDk0,House Committee on Agriculture,House Committee on Agriculture,https://www.youtube.com/channel/UCWtWf-QUTnJ-UMP5ZNWVB5Q,UCWtWf-QUTnJ-UMP5ZNWVB5Q,,
-pN9esgHMVs,https://www.youtube.com/watch?v=-pN9esgHMVs,Senator Michael Bennet,Michael F. Bennet,B001267,UCXB3cljpMwTyCUyLr2ZVLow,,
-pwy32EDZkk,https://www.youtube.com/watch?v=-pwy32EDZkk,Rep. Gabe Vasquez,Gabe Vasquez,V000136,UCYNflwnxykWBLTaNbuIFIqA,,
-qUshC5UpXY,https://www.youtube.com/watch?v=-qUshC5UpXY,Rep. Ritchie Torres,Norma J. Torres,T000474,UC332GOmhxGmHj3WRiHK4hFg,,
-uOcI6rWsPQ,https://www.youtube.com/watch?v=-uOcI6rWsPQ,Sen. Elissa Slotkin,Elissa Slotkin,S001208,UCavPE_osOr5wM3QYUzfs95A,,
01BQAVg2P48,https://www.youtube.com/watch?v=01BQAVg2P48,Sen. Mallory McMorrow,Stephen Mallory,M000084,UCUNrNIDIIoXI6W-TCj58HSg,,
08-B3-ORZYg,https://www.youtube.com/watch?v=08-B3-ORZYg,U.S. Congressman Brendan Boyle,Brendan F. Boyle,B001296,UCMP_Anj7lz4eZuSh8GwFqQQ,,
0AiUFiYyXxk,https://www.youtube.com/watch?v=0AiUFiYyXxk,Sen. Elissa Slotkin,Elissa Slotkin,S001208,UCavPE_osOr5wM3QYUzfs95A,,
0GFkkpV2H6M,https://www.youtube.com/watch?v=0GFkkpV2H6M,Rep. Joe Neguse,Joe Neguse,N000191,UCukNKhsFrzM-LFtp43XPQtg,,
0JKnOWbE45U,https://www.youtube.com/watch?v=0JKnOWbE45U,Sen. Elissa Slotkin,Elissa Slotkin,S001208,UCavPE_osOr5wM3QYUzfs95A,,
0L8TSQskHHU,https://www.youtube.com/watch?v=0L8TSQskHHU,Angie Craig,Angie Craig,C001119,UCIQeh8zK8g51o9pNGGglHVA,,
0LZxGtEycIs,https://www.youtube.com/watch?v=0LZxGtEycIs,Mary Peltola,Mary Sattler Peltola,P000619,UCXHT0c_Cqdvp6UAfXDxuGow,,
0QCMePzYUhc,https://www.youtube.com/watch?v=0QCMePzYUhc,Sen. Elissa Slotkin,Elissa Slotkin,S001208,UCavPE_osOr5wM3QYUzfs95A,,
0QyCSkTtYBo,https://www.youtube.com/watch?v=0QyCSkTtYBo,Mahan for California,Mahan for California,https://www.youtube.com/channel/UCePbQz1iC9qgNcxtAwv3_zQ,UCePbQz1iC9qgNcxtAwv3_zQ,,
0TNt84FTQgo,https://www.youtube.com/watch?v=0TNt84FTQgo,Mahan for California,Mahan for California,https://www.youtube.com/channel/UCePbQz1iC9qgNcxtAwv3_zQ,UCePbQz1iC9qgNcxtAwv3_zQ,,
0Zvh3ep4_Lw,https://www.youtube.com/watch?v=0Zvh3ep4_Lw,C-SPAN,C-SPAN,https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg,UCb--64Gl51jIEVE-GLDAVTg,,
0agkzFpSSIQ,https://www.youtube.com/watch?v=0agkzFpSSIQ,House Committee on Agriculture,House Committee on Agriculture,https://www.youtube.com/channel/UCWtWf-QUTnJ-UMP5ZNWVB5Q,UCWtWf-QUTnJ-UMP5ZNWVB5Q,,
0cQcQNSCk-w,https://www.youtube.com/watch?v=0cQcQNSCk-w,Congresswoman Sarah McBride,Sarah McBride,M001238,UCadfl-Ek-uH5SustAmPL40g,,
0cUQqPxw3hc,https://www.youtube.com/watch?v=0cUQqPxw3hc,C-SPAN,C-SPAN,https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg,UCb--64Gl51jIEVE-GLDAVTg,,
0clzajyigfs,https://www.youtube.com/watch?v=0clzajyigfs,Sen. Elissa Slotkin,Elissa Slotkin,S001208,UCavPE_osOr5wM3QYUzfs95A,,
0iXYQePt2ME,https://www.youtube.com/watch?v=0iXYQePt2ME,Rep. Marie Gluesenkamp Perez,Marie Gluesenkamp Perez,G000600,UCo4paf7SbVdHOi67ayp1DDg,,
0ki6UulBYM0,https://www.youtube.com/watch?v=0ki6UulBYM0,Sen. Elissa Slotkin,Elissa Slotkin,S001208,UCavPE_osOr5wM3QYUzfs95A,,
0mU4aDhg4jw,https://www.youtube.com/watch?v=0mU4aDhg4jw,Rep. Gabe Vasquez,Gabe Vasquez,V000136,UCYNflwnxykWBLTaNbuIFIqA,,
0nhZHXH6OfA,https://www.youtube.com/watch?v=0nhZHXH6OfA,Angie Craig,Angie Craig,C001119,UCIQeh8zK8g51o9pNGGglHVA,,
0tZOcvl5_Y8,https://www.youtube.com/watch?v=0tZOcvl5_Y8,Mahan for California,Mahan for California,https://www.youtube.com/channel/UCePbQz1iC9qgNcxtAwv3_zQ,UCePbQz1iC9qgNcxtAwv3_zQ,,
10Q1CNPszlU,https://www.youtube.com/watch?v=10Q1CNPszlU,C-SPAN,C-SPAN,https://www.youtube.com/channel/UCb--64Gl51jIEVE-GLDAVTg,UCb--64Gl51jIEVE-GLDAVTg,,
